No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
209,WMB,"The Williams Companies, Inc.",41.32B,33.96,-0.24%,11.05B
210,CNC,Centene Corporation,40.95B,76.65,0.20%,154.00B
211,AMP,"Ameriprise Financial, Inc.",40.68B,396.40,0.40%,11.54B
212,KMB,Kimberly-Clark Corporation,40.38B,119.47,-0.67%,20.43B
213,LVS,Las Vegas Sands Corp.,40.24B,53.38,-0.43%,10.37B
214,OKE,"ONEOK, Inc.",40.14B,68.91,-0.09%,17.47B
215,HSY,The Hershey Company,40.12B,196.08,-3.08%,11.16B
216,AEP,"American Electric Power Company, Inc.",39.94B,75.95,0.01%,19.29B
217,FAST,Fastenal Company,39.91B,69.83,0.82%,7.35B
218,IQV,IQVIA Holdings Inc.,39.66B,217.25,0.12%,14.86B
219,LHX,"L3Harris Technologies, Inc.",39.59B,208.90,-0.19%,18.66B
220,SYY,Sysco Corporation,39.41B,79.17,-0.20%,77.51B
221,A,"Agilent Technologies, Inc.",38.99B,133.07,-0.75%,6.83B
222,AME,"AMETEK, Inc.",38.81B,168.15,1.11%,6.60B
223,CTSH,Cognizant Technology Solutions Corporation,38.75B,77.28,-1.31%,19.35B
224,PRU,"Prudential Financial, Inc.",38.27B,106.06,-2.35%,52.23B
225,DOW,Dow Inc.,37.85B,53.90,0.03%,44.62B
226,JCI,Johnson Controls International plc,37.69B,55.31,0.35%,26.82B
227,CTVA,"Corteva, Inc.",37.68B,53.45,0.39%,17.23B
228,NEM,Newmont Corporation,37.61B,32.64,-2.11%,11.06B
229,EA,Electronic Arts Inc.,37.39B,139.82,0.70%,7.66B
230,D,"Dominion Energy, Inc.",37.06B,44.30,0.26%,17.77B
231,KVUE,Kenvue Inc.,37.03B,19.34,0.03%,15.55B
232,KMI,"Kinder Morgan, Inc.",36.84B,16.58,-0.30%,15.88B
233,GEHC,GE HealthCare Technologies Inc.,36.79B,80.78,-1.57%,19.55B
234,OTIS,Otis Worldwide Corporation,36.68B,90.49,-0.42%,14.21B
235,FIS,"Fidelity National Information Services, Inc.",36.56B,61.70,0.42%,13.46B
236,YUM,"Yum! Brands, Inc.",36.37B,129.78,-0.48%,7.06B
237,VRSK,"Verisk Analytics, Inc.",36.15B,249.34,0.03%,2.23B
238,MPWR,"Monolithic Power Systems, Inc.",36.10B,753.18,2.19%,1.83B
239,IT,"Gartner, Inc.",35.83B,460.19,0.88%,5.83B
240,CMI,Cummins Inc.,35.48B,250.38,0.18%,34.07B
241,GIS,"General Mills, Inc.",35.42B,62.40,-2.60%,20.20B
242,GPN,Global Payments Inc.,35.18B,135.11,-1.11%,9.47B
243,BIIB,Biogen Inc.,34.83B,240.32,0.01%,9.99B
244,PCG,PG&E Corporation,34.71B,16.27,0.18%,22.76B
245,IR,Ingersoll Rand Inc.,34.62B,85.52,0.16%,6.68B
246,ON,ON Semiconductor Corporation,34.32B,80.33,-0.47%,8.25B
247,CSGP,"CoStar Group, Inc.",33.84B,82.91,1.39%,2.39B
248,MRNA,"Moderna, Inc.",33.59B,88.10,-5.94%,9.12B
249,EXC,Exelon Corporation,33.33B,33.49,-0.77%,21.03B
250,NDAQ,"Nasdaq, Inc.",32.86B,56.97,0.36%,6.07B
251,FICO,Fair Isaac Corporation,32.84B,"1,321.18",-0.02%,1.55B
252,KR,The Kroger Co.,32.60B,45.33,-0.25%,147.80B
253,PPG,"PPG Industries, Inc.",32.55B,138.15,-0.35%,18.25B
254,CDW,CDW Corporation,32.49B,242.47,-0.61%,21.80B
255,ROK,"Rockwell Automation, Inc.",32.38B,282.62,1.40%,9.13B
256,MLM,"Martin Marietta Materials, Inc.",32.37B,523.76,-0.31%,6.65B
257,XEL,Xcel Energy Inc.,31.90B,57.82,-0.31%,14.82B
258,VMC,Vulcan Materials Company,31.70B,238.50,0.03%,7.68B
259,HAL,Halliburton Company,30.98B,34.62,-1.18%,23.02B
260,ACGL,Arch Capital Group Ltd.,30.94B,82.92,0.19%,12.73B
261,LYB,LyondellBasell Industries N.V.,30.79B,95.06,0.08%,41.38B
262,EFX,Equifax Inc.,30.61B,248.44,-1.44%,5.14B
263,DLTR,"Dollar Tree, Inc.",30.60B,140.43,-0.33%,29.68B
264,ED,"Consolidated Edison, Inc.",30.58B,88.59,-0.09%,15.25B
265,VICI,VICI Properties Inc.,30.48B,29.46,-0.71%,3.45B
266,PWR,"Quanta Services, Inc.",30.45B,209.59,0.88%,19.51B
267,WST,"West Pharmaceutical Services, Inc.",30.23B,409.07,-0.45%,2.93B
268,EXR,Extra Space Storage Inc.,30.18B,142.83,-0.45%,2.27B
269,ANSS,"ANSYS, Inc.",30.03B,345.41,0.02%,2.16B
270,RCL,Royal Caribbean Cruises Ltd.,29.88B,116.63,-3.59%,13.90B
271,XYL,Xylem Inc.,29.74B,123.33,0.78%,6.75B
272,DG,Dollar General Corporation,29.67B,135.15,-0.37%,39.04B
273,PEG,Public Service Enterprise Group Incorporated,29.03B,58.23,0.04%,11.77B
274,BKR,Baker Hughes Company,28.99B,28.96,-1.23%,25.51B
275,FTV,Fortive Corporation,28.86B,82.13,-0.14%,5.43B
276,DD,"DuPont de Nemours, Inc.",28.67B,66.64,-0.69%,12.53B
277,KEYS,"Keysight Technologies, Inc.",28.25B,161.76,0.36%,5.46B
278,ADM,Archer-Daniels-Midland Company,28.10B,52.66,-0.08%,96.90B
279,HPQ,HP Inc.,28.02B,28.28,-0.05%,53.72B
280,WTW,Willis Towers Watson PLC,28.01B,271.30,0.44%,9.48B
281,DFS,Discover Financial Services,27.23B,108.91,0.06%,10.42B
282,BF.B,Brown-Forman Corporation,27.23B,56.47,-0.82%,4.27B
283,FANG,"Diamondback Energy, Inc.",27.20B,151.94,-1.00%,8.21B
284,GLW,Corning Incorporated,27.14B,31.81,0.24%,12.59B
285,HIG,"The Hartford Financial Services Group, Inc.",27.09B,90.09,0.40%,24.14B
286,RMD,ResMed Inc.,26.83B,182.50,-0.68%,4.50B
287,DVN,Devon Energy Corporation,26.72B,41.71,-1.66%,15.41B
288,TTWO,"Take-Two Interactive Software, Inc.",26.43B,155.28,-8.44%,5.44B
289,CBRE,"CBRE Group, Inc.",26.22B,86.01,0.05%,31.19B
290,DAL,"Delta Air Lines, Inc.",25.85B,40.19,-0.41%,57.26B
291,MTD,Mettler-Toledo International Inc.,25.75B,"1,189.45",-2.90%,3.79B
292,ZBH,"Zimmer Biomet Holdings, Inc.",25.48B,121.92,-0.91%,5.64B
293,CAH,"Cardinal Health, Inc.",25.42B,104.49,1.71%,216.15B
294,ULTA,"Ulta Beauty, Inc.",25.37B,522.25,0.60%,10.88B
295,TSCO,Tractor Supply Company,25.27B,233.69,0.80%,14.56B
296,EIX,Edison International,24.79B,64.63,-0.14%,16.65B
297,AVB,"AvalonBay Communities, Inc.",24.64B,173.56,-0.56%,2.73B
298,WAB,Westinghouse Air Brake Technologies Corporation,24.44B,136.43,-0.22%,9.46B
299,CHD,"Church & Dwight Co., Inc.",24.38B,98.93,-1.01%,5.87B
300,WEC,"WEC Energy Group, Inc.",24.35B,77.20,-0.26%,8.89B
301,WY,Weyerhaeuser Company,24.17B,33.12,0.32%,7.72B
302,HWM,Howmet Aerospace Inc.,24.17B,58.70,-0.80%,6.42B
303,TROW,"T. Rowe Price Group, Inc.",23.98B,107.29,-1.49%,12.32T
304,RJF,"Raymond James Financial, Inc.",23.92B,114.04,1.73%,11.85B
305,AWK,"American Water Works Company, Inc.",23.63B,121.35,-0.39%,4.13B
306,GRMN,Garmin Ltd.,23.54B,122.95,0.52%,5.05B
307,NVR,"NVR, Inc.",23.52B,"7,408.00",-1.05%,9.60B
308,WBD,"Warner Bros. Discovery, Inc.",23.50B,9.64,-1.98%,42.05B
309,BR,"Broadridge Financial Solutions, Inc.",23.42B,198.80,-0.10%,6.32B
310,SBAC,SBA Communications Corporation,23.27B,215.69,-0.24%,2.72B
311,BRO,"Brown & Brown, Inc.",22.82B,80.22,0.34%,4.26B
312,BLDR,"Builders FirstSource, Inc.",22.81B,184.80,-0.24%,17.30B
313,FITB,Fifth Third Bancorp,22.80B,33.50,0.31%,8.22B
314,APTV,Aptiv PLC,22.80B,81.70,0.50%,20.05B
315,ALGN,"Align Technology, Inc.",22.65B,295.67,0.23%,3.86B
316,MOH,"Molina Healthcare, Inc.",22.53B,386.36,1.28%,33.25B
317,STT,State Street Corporation,22.37B,72.44,0.06%,12.06B
318,DOV,Dover Corporation,22.34B,159.76,-0.22%,8.44B
319,EQR,Equity Residential,22.30B,58.71,-0.83%,2.87B
320,JBHT,"J.B. Hunt Transport Services, Inc.",22.12B,214.44,0.50%,13.18B
321,MTB,M&T Bank Corporation,21.94B,132.19,0.43%,9.34B
322,PTC,PTC Inc.,21.87B,182.93,0.77%,2.18B
323,STE,STERIS plc,21.85B,220.85,0.27%,5.41B
324,PHM,"PulteGroup, Inc.",21.84B,102.93,-0.32%,16.06B
325,EBAY,eBay Inc.,21.83B,42.05,0.07%,10.06B
326,ILMN,"Illumina, Inc.",21.60B,136.06,-5.07%,4.50B
327,DTE,DTE Energy Company,21.40B,103.69,-0.52%,12.75B
328,FE,FirstEnergy Corp.,21.23B,37.00,3.38%,12.90B
329,ROL,"Rollins, Inc.",21.00B,43.38,-0.80%,2.98B
330,LYV,"Live Nation Entertainment, Inc.",20.68B,89.76,2.00%,21.20B
331,ETR,Entergy Corporation,20.59B,97.37,-0.03%,12.70B
332,WRB,W. R. Berkley Corporation,20.51B,79.96,0.09%,11.94B
333,VLTO,Veralto Corporation,20.44B,82.87,0.38%,-
334,TDY,Teledyne Technologies Incorporated,20.40B,432.49,0.42%,5.63B
335,ARE,"Alexandria Real Estate Equities, Inc.",20.32B,116.08,-1.54%,2.89B
336,IFF,International Flavors & Fragrances Inc.,20.29B,79.49,-1.27%,11.62B
337,STLD,"Steel Dynamics, Inc.",20.18B,124.66,-0.15%,18.80B
338,VRSN,"VeriSign, Inc.",20.14B,197.13,-1.94%,1.48B
339,AXON,"Axon Enterprise, Inc.",20.13B,268.89,-0.04%,1.47B
340,INVH,Invitation Homes Inc.,20.06B,32.78,0.26%,2.39B
341,HPE,Hewlett Packard Enterprise Company,20.04B,15.42,-0.52%,29.14B
342,DRI,"Darden Restaurants, Inc.",20.02B,167.70,-0.29%,11.01B
343,IRM,Iron Mountain Incorporated,20.00B,68.52,-0.06%,5.34B
344,GPC,Genuine Parts Company,19.89B,141.94,-0.26%,23.03B
345,BAX,Baxter International Inc.,19.73B,38.90,-3.86%,14.81B
346,TRGP,Targa Resources Corp.,19.59B,87.89,-0.01%,16.38B
347,CBOE,"Cboe Global Markets, Inc.",19.54B,184.80,0.35%,3.77B
348,FLT,"FLEETCOR Technologies, Inc.",19.50B,270.32,1.96%,3.76B
349,AKAM,"Akamai Technologies, Inc.",19.41B,128.63,1.46%,3.74B
350,HUBB,Hubbell Incorporated,19.33B,360.71,0.70%,5.37B
351,WBA,"Walgreens Boots Alliance, Inc.",19.32B,22.40,-0.62%,142.41B
352,WAT,Waters Corporation,19.21B,325.03,-0.51%,2.96B
353,ES,Eversource Energy,19.17B,54.87,1.48%,12.25B
354,LUV,Southwest Airlines Co.,19.13B,32.06,-0.85%,26.09B
355,PPL,PPL Corporation,18.98B,25.76,0.37%,8.57B
356,CLX,The Clorox Company,18.97B,152.93,-0.84%,7.31B
357,LH,Laboratory Corporation of America Holdings,18.92B,222.85,0.02%,13.54B
358,CCL,Carnival Corporation & plc,18.63B,15.08,-3.92%,21.59B
359,COO,"The Cooper Companies, Inc.",18.62B,374.62,0.26%,3.59B
360,TYL,"Tyler Technologies, Inc.",18.58B,440.91,1.32%,1.92B
